x,y,z
2075,240,-390
2126,247,-364
2143,250,-333
2144,252,-299
2470,291,-305
2352,279,-253
2135,254,-415
2069,247,-369
2143,257,-347
2138,258,-312
2166,262,-281
2375,289,-271
2160,264,-435
2083,256,-385
2144,264,-361
2142,265,-326
2152,267,-293
2336,291,-281
2186,274,-455
2156,271,-413
2078,262,-364
2159,274,-343
2284,291,-326
2490,318,-316
2130,274,-459
2183,281,-434
2083,269,-379
2195,285,-364
2619,341,-392
2565,335,-343
2085,274,-464
2203,290,-453
2114,279,-399
2084,276,-359
2561,341,-400
2611,349,-366
2146,288,-493
2159,290,-459
2175,293,-426
2082,282,-373
2416,328,-394
2630,358,-386
2347,321,-556
2104,289,-462
2161,297,-438
2082,287,-388
2113,292,-359
2618,363,-402
2362,330,-576
2143,299,-486
2168,304,-455
2281,320,-441
2100,296,-371
2355,333,-377
2366,336,-594
2376,338,-556
2116,302,-459
2230,319,-446
2095,300,-385
2206,317,-369
2290,331,-592
2381,345,-575
2124,308,-476
2157,313,-447
2223,324,-424
2108,308,-367
2229,327,-593
2385,351,-593
2355,347,-545
2130,314,-457
2263,335,-447
2113,313,-382
2180,325,-597
2330,348,-597
2387,357,-570
2114,317,-468
2208,331,-452
2103,316,-395
2307,349,-649
2254,341,-594
2390,362,-588
2240,340,-512
2149,327,-455
2206,336,-430
2452,376,-709
2201,338,-596
2382,366,-603
2390,368,-564
2119,326,-463
2137,330,-431
2349,365,-697
2243,349,-625
2268,353,-591
2396,373,-583
2169,338,-490
2145,335,-448
