x,y,z
7458,-1043,121
10524,-1486,349
10553,-1504,528
10807,-1556,724
10517,-1530,884
10797,-1588,1092
7758,-1131,155
10980,-1616,405
10578,-1572,570
10611,-1592,752
10517,-1594,926
10903,-1670,1148
8290,-1259,197
0,0,0
10849,-1677,627
10521,-1642,788
10641,-1677,980
10750,-1711,1176
10776,-1699,299
10651,-1695,476
8303,-1333,514
8073,-1308,638
10539,-1724,1015
10498,-1735,1194
8087,-1323,257
8090,-1334,395
8069,-1343,532
8059,-1353,671
10851,-1839,1092
10734,-1838,1268
8092,-1371,290
8079,-1380,428
8067,-1390,567
10592,-1841,928
10934,-1918,1149
10725,-1900,1315
8079,-1415,324
8074,-1426,463
8065,-1437,602
10587,-1902,974
10735,-1947,1177
10715,-1961,1364
8080,-1462,359
8075,-1473,498
8065,-1482,637
10725,-1989,1036
10696,-2001,1221
10799,-2039,1425
8077,-1507,394
8074,-1518,534
8057,-1527,673
10502,-2008,1063
10481,-2021,1247
10469,-2038,1433
8075,-1552,430
8068,-1563,571
10553,-2061,932
10478,-2063,1110
10464,-2078,1296
10464,-2097,1484
7914,-1566,458
7954,-1585,600
10518,-2113,979
10497,-2126,1163
10481,-2141,1349
10621,-2189,1559
7936,-1614,496
7955,-1629,637
10712,-2211,1048
10693,-2225,1238
10691,-2244,1430
10648,-2255,1618
7936,-1657,534
8019,-1686,681
10707,-2269,1101
10715,-2289,1294
10764,-2319,1495
10632,-2310,1671
7936,-1700,572
10563,-2279,950
10776,-2342,1162
10709,-2346,1348
2140,-472,308
2147,-478,349
2136,-469,164
2152,-475,204
2136,-475,241
2180,-489,285
2200,-498,328
2231,-509,374
2173,-488,178
2173,-492,217
2175,-496,257
2180,-501,297
2214,-513,342
2142,-500,371
